seed	Area
0	12293.8
1	12499.3
2	11294.4
3	11899.9
4	11786.5
5	11770.3
6	11594.1
7	12691.7
8	11573.9
9	11947.5
10	12373.8
11	12749.4
12	11711.6
13	11894.9
14	11310.6
15	11921.2
16	12834.4
17	11612.4
18	12230
19	11679.2
20	11886.8
21	11702.5
22	12612.7
23	13182.8
24	12571.2
25	12582.3
26	12058.9
27	11747
28	12404.1
29	12077.1
30	12118.6
31	11371.4
32	11945.5
33	12310
34	11943.5
35	11552.6
36	12246.2
37	12180.4
38	11783.5
39	11407.8
40	11776.4
41	12967.1
42	11428.1
43	12509.4
44	11863.5
45	13028.9
46	10827.7
47	9930.6
48	11816.9
49	11987
50	11613.4
51	11697.4
52	11914.1
53	11570.8
54	11874.6
55	11552.6
56	12201.6
57	12296.8
58	12222.9
59	11152.7
60	11867.5
61	11646.8
62	11698.4
63	12585.4
64	12257.3
65	11879.7
66	10787.2
67	12046.7
68	11962.7
69	11512.1
70	12154
71	10967.4
72	11203.3
73	11939.4
74	11677.2
75	12692.7
76	12132.8
77	11378.5
78	12722.1
79	11438.2
80	12043.7
81	12537.8
82	12042.7
83	12148
84	11867.5
85	11857.4
86	11660
87	12007.2
88	11539.5
89	10625.2
90	12539.8
91	12019.4
92	11967.7
93	11669.1
94	12173.3
95	11423
96	11892.8
97	13260.7
98	12167.2
99	11953.6
100	11296.5
101	12247.2
102	11947.5
103	11235.7
104	11289.4
105	11993.1
106	11292.4
107	11987
108	11954.6
109	11763.2
110	11995.1
111	11426.1
112	11373.4
113	11932.3
114	11036.2
115	12047.7
116	11486.8
117	10958.3
118	12507.4
119	12434.5
120	12489.2
121	12181.4
122	11906
123	11368.3
124	11604.3
125	12858.8
126	12709.9
127	11562.8
128	11555.7
129	12758.5
130	11728.8
131	11668.1
132	12516.5
133	12018.4
134	11374.4
135	11882.7
136	11907
137	12542.9
138	11367.3
139	10311.3
140	11506
141	10326.5
142	10324.5
143	12368.7
144	11465.5
145	12602.6
146	11906
147	11254.9
148	12010.3
149	11689.3
150	12601.6
151	11245.8
152	13169.6
153	12027.5
154	12174.3
155	12351.5
156	12131.8
157	11363.3
158	12843.6
159	11482.8
160	12286.7
161	11933.3
162	12123.7
163	12466.9
164	10669.7
165	11636.7
166	12493.2
167	13409.5
168	11124.3
169	10669.7
170	11773.4
171	12105.5
172	12461.9
173	10394.3
174	12082.2
175	12457.8
176	11283.3
177	12327.2
178	12173.3
179	12103.4
180	12762.6
181	11725.8
182	12761.5
183	11071.7
184	11755.1
185	12160.1
186	12469.9
187	11500
188	11957.6
189	11504
190	11933.3
191	11395.7
192	12669.4
193	12898.2
194	12262.4
195	12117.6
196	11400.8
197	12052.8
198	12057.9
199	11318.7
200	12519.6
201	11947.5
202	11766.3
203	11923.2
204	12773.7
205	12062.9
206	13054.2
207	12724.1
208	11390.6
209	12095.3
210	11795.6
211	11958.6
212	12052.8
213	12997.5
214	12001.2
215	11540.5
216	11554.6
217	11972.8
218	12282.6
219	12054.8
220	12256.3
221	11692.4
222	11203.3
223	11617.4
224	11397.7
225	11257
226	11800.7
227	12669.4
228	11412.9
229	11355.2
230	12210.8
231	11425.1
232	11007.9
233	12277.6
234	12282.6
235	11479.7
236	12347.4
237	11331.9
238	12793.9
239	12067
240	11384.5
241	12657.3
242	11256
243	12467.9
244	12269.5
245	13184.8
246	11925.2
247	11835.1
248	10799.3
249	11747
250	11846.2
251	12490.2
252	11903
253	11960.7
254	12069
255	11616.4
256	11937.4
257	11456.4
258	11611.3
259	11888.8
260	12821.3
261	12820.3
262	11329.9
263	12318.1
264	11490.9
265	11649.8
266	12130.8
267	11613.4
268	13118
269	12459.8
270	12295.8
271	11681.2
272	12069
273	11883.7
274	11619.4
275	11528.3
276	11695.4
277	11878.6
278	10765.9
279	12179.4
280	10853
281	11081.8
282	11668.1
283	11766.3
284	12968.1
285	10671.8
286	11799.7
287	12713
288	12254.3
289	11138.5
290	12574.2
291	12699.8
292	11776.4
293	11068.6
294	11906
295	12150
296	11406.8
297	11296.5
298	12807.1
299	12653.2
300	11750.1
301	12310
302	11602.2
303	11813.9
304	11608.3
305	12054.8
306	10730.5
307	12541.8
308	11423
309	11584
310	12373.8
311	11420
312	12153
313	12461.9
314	11746
315	13064.3
316	12837.5
317	11469.6
318	11831.1
319	12094.3
320	12013.3
321	11757.1
322	11220.5
323	12204.7
324	11914.1
325	10608
326	11378.5
327	11904
328	10667.7
329	10831.7
330	11731.8
331	12498.3
332	11813.9
333	12123.7
334	11683.2
335	12164.2
336	12453.8
337	11684.2
338	12914.4
339	11761.2
340	11970.8
341	12344.4
342	11946.5
343	12210.8
344	12423.4
345	11886.8
346	12348.5
347	11499
348	11919.2
349	11665
350	12573.2
351	11635.7
352	11976.9
353	12114.6
354	12697.8
355	12633
356	10617.1
357	12007.2
358	12829.4
359	12309
360	12008.2
361	12580.3
362	11814.9
363	11390.6
