seed	Volume
0	0.29848
1	0.267989
2	0.295945
3	0.283023
4	0.310672
5	0.276159
6	0.294754
7	0.297394
8	0.294178
9	0.300307
10	0.303857
11	0.298519
12	0.297772
13	0.286025
14	0.295045
15	0.28169
16	0.29155
17	0.297262
18	0.303309
19	0.306178
20	0.283588
21	0.290052
22	0.285855
23	0.263896
24	0.283342
25	0.27296
26	0.304741
27	0.305053
28	0.288642
29	0.280642
30	0.292604
31	0.289624
32	0.278255
33	0.30676
34	0.277476
35	0.298354
36	0.284466
37	0.309509
38	0.296472
39	0.278222
40	0.291374
41	0.281608
42	0.298255
43	0.263007
44	0.287342
45	0.294606
46	0.287413
47	0.27115
48	0.298743
49	0.287951
50	0.270019
51	0.281416
52	0.283896
53	0.281734
54	0.283852
55	0.308521
56	0.290634
57	0.287111
58	0.279501
59	0.292016
60	0.281844
61	0.317273
62	0.280263
63	0.295133
64	0.281931
65	0.303923
66	0.290425
67	0.280466
68	0.301235
69	0.299254
70	0.274743
71	0.282936
72	0.30851
73	0.284362
74	0.282019
75	0.262864
76	0.297915
77	0.272861
78	0.303523
79	0.288324
80	0.284241
81	0.289136
82	0.299605
83	0.29358
84	0.285514
85	0.283824
86	0.272697
87	0.296258
88	0.295012
89	0.289558
90	0.285355
91	0.288329
92	0.286754
93	0.282003
94	0.294529
95	0.295698
96	0.292549
97	0.292296
98	0.302727
99	0.313674
